Posizionamento_Disciplina,Squadra,Punti,anno,disciplina,PtTotaliOlimpiade,Posizionamento_Olimpiade
62,SPARAFUCILE,8,2025,Bocce,362,16
63,AMNERIS,8,2025,Bocce,300,58
64,PREZIOSILLA,8,2025,Bocce,241,101
65,ALZIRA,8,2025,Bocce,300,57
66,FEDERICA,8,2025,Bocce,296,65
67,ELISABETTA DI VALOIS,8,2025,Bocce,287,71
68,RENATO,8,2025,Bocce,271,84
69,ISMAELE,8,2025,Bocce,280,76
70,LEONORA,8,2025,Bocce,297,63
71,ELVIRA,8,2025,Bocce,279,77
72,FORESTO,8,2025,Bocce,302,52
73,ZACCARIA,8,2025,Bocce,384,14
74,ULDINO,8,2025,Bocce,248,96
75,ABDALLO,8,2025,Bocce,281,75
76,RIGOLETTO,8,2025,Bocce,271,85
77,LUISA MILLER,8,2025,Bocce,277,79
78,GODVINO,8,2025,Bocce,275,82
79,VICLINDA,8,2025,Bocce,251,95
80,RADAMÈS,8,2025,Bocce,291,69
81,CONTE RICCARDO,8,2025,Bocce,329,33
82,FRA MELITONE,6,2025,Bocce,144,108
83,PIRRO,6,2025,Bocce,233,103
84,CONTE DI LUNA,6,2025,Bocce,357,21
85,FENTON,6,2025,Bocce,266,89
86,DOROTEA,6,2025,Bocce,301,54
87,ATALIBA,6,2025,Bocce,327,35
88,GULNARA,6,2025,Bocce,338,29
89,FLORA,6,2025,Bocce,299,61
90,ROLLA,6,2025,Bocce,265,90
91,GUY DE MONTFORT,6,2025,Bocce,350,24
92,RUY GOMEZ,6,2025,Bocce,261,91
93,AROLDO,6,2025,Bocce,320,41
94,GASTONE,6,2025,Bocce,355,22
95,MOSER,6,2025,Bocce,230,104
96,ARMINIO,6,2025,Bocce,225,105
97,OSCAR,6,2025,Bocce,275,81
98,LINA,6,2025,Bocce,301,56
99,ELENA,6,2025,Bocce,382,15
100,FORD,6,2025,Bocce,317,43
101,DON CARLOS,6,2025,Bocce,337,31
102,ERNANI,6,2025,Bocce,283,73
103,LIDA,6,2025,Bocce,277,78
104,WURM,6,2025,Bocce,298,62
105,NINETTA,6,2025,Bocce,213,107
106,RAMFIS,6,2025,Bocce,403,7
107,AIDA,6,2025,Bocce,308,48
108,SELIMO,6,2025,Bocce,323,38
1,MARCOVALDO,30,2025,Calciobalilla,451,4
2,CONTE DI VAUDEMONT,25,2025,Calciobalilla,416,6
3,ALZIRA,21,2025,Calciobalilla,300,57
4,OTELLO,18,2025,Calciobalilla,470,3
5,CORRADO,16,2025,Calciobalilla,358,20
6,GERMONT,16,2025,Calciobalilla,312,46
7,BORSA,16,2025,Calciobalilla,302,53
8,ZACCARIA,16,2025,Calciobalilla,384,14
9,MACDUFF,14,2025,Calciobalilla,355,23
10,CASSIO,14,2025,Calciobalilla,392,11
11,IAGO,14,2025,Calciobalilla,479,1
12,FEDERICA,14,2025,Calciobalilla,296,65
13,ELVIRA,14,2025,Calciobalilla,279,77
14,DON RICCARDO,14,2025,Calciobalilla,300,59
15,SEID,14,2025,Calciobalilla,244,100
16,CONTE RICCARDO,14,2025,Calciobalilla,329,33
17,MEDORA,12,2025,Calciobalilla,288,70
18,NABUCODONOSOR,12,2025,Calciobalilla,328,34
19,ALFREDO,12,2025,Calciobalilla,470,2
20,EGBERTO,12,2025,Calciobalilla,293,67
21,FILIPPO II,12,2025,Calciobalilla,326,36
22,RODOLFO,12,2025,Calciobalilla,317,44
23,ZAMORO,12,2025,Calciobalilla,387,12
24,RAFFAELE,12,2025,Calciobalilla,251,94
25,DESDEMONA,12,2025,Calciobalilla,343,27
26,ALICE,12,2025,Calciobalilla,332,32
27,FORESTO,12,2025,Calciobalilla,302,52
28,FORD,12,2025,Calciobalilla,317,43
29,RODRIGO,12,2025,Calciobalilla,291,68
30,DON CARLOS,12,2025,Calciobalilla,337,31
31,VIOLETTA,12,2025,Calciobalilla,345,26
32,LUISA MILLER,12,2025,Calciobalilla,277,79
33,BANCO,10,2025,Calciobalilla,304,51
34,DUCA DI MANTOVA,10,2025,Calciobalilla,307,50
35,CONTE DI LUNA,10,2025,Calciobalilla,357,21
36,BARBAROSSA,10,2025,Calciobalilla,301,55
37,ATALIBA,10,2025,Calciobalilla,327,35
38,FLORA,10,2025,Calciobalilla,299,61
39,MALCOLM,10,2025,Calciobalilla,360,18
40,AMNERIS,10,2025,Calciobalilla,300,58
41,TEBALDO,10,2025,Calciobalilla,320,39
42,BRIANO,10,2025,Calciobalilla,224,106
43,DON ALVARO,10,2025,Calciobalilla,240,102
44,LEONORA,10,2025,Calciobalilla,297,63
45,FALSTAFF,10,2025,Calciobalilla,320,40
46,ERNANI,10,2025,Calciobalilla,283,73
47,STIFFELIO,10,2025,Calciobalilla,307,49
48,ARRIGO,10,2025,Calciobalilla,293,66
49,ROLANDO,10,2025,Calciobalilla,300,60
